rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
15239,8956206,1,,6.17998,1.25E-05,132.722,1.45E-03,8.58E-01,2.74E-01,2.231,3.58E-01,8.28E+02,2.94E+01,2.99E+01,2.655,6.01E-01,8.15E+02,3.46E+01,,,5149,105,4.55,0.06,0.791,0.059,PC
15240,8974140,1,,0.508694,6.25E-06,131.835,1.64E-03,8.94E-01,3.19E-01,1.613,1.32E+00,2.71E+02,2.07E+01,2.01E+01,5.989,1.52E+00,4.52E+03,9.42E+02,,,7166,358,3.71,0.32,3.116,1.26,AFP
15241,8974140,2,,0.508702,0.00E+00,131.589,0.00E+00,1.00E-01,0.00E+00,1.5,0.00E+00,5.24E+02,0.00E+00,-1.00E+00,7.189,0.00E+00,4.52E+03,0.00E+00,,,7166,358,3.71,0.32,3.116,1.26,AFP
15242,8975368,1,,2.42647,1.13E-05,133.711,2.47E-03,7.01E-01,7.09E-01,1.758,8.94E-02,2.75E+01,2.51E+00,1.32E+01,0.8126,1.60E-01,1.71E+03,4.03E+02,,,6025,173,4.1,0.28,1.445,0.676,AFP
15243,8975485,1,,0.522734,1.98E-04,131.625,2.83E-02,9.00E-01,8.34E-01,0.9813,1.34E+00,1.46E+00,3.56E+00,6.28E-01,0.2614,3.65E-01,3.38E+03,6.82E+02,,,6523,243,3.97,0.31,1.846,0.732,UNK
15244,9002538,2,,6.88309,3.34E-05,134.154,3.58E-03,7.00E-01,6.50E-01,1.78,9.73E-02,3.08E+01,2.73E+00,1.20E+01,0.7714,1.42E-01,1.14E+03,1.27E+02,,,6117,125,4.24,0.14,1.298,0.285,PC
15245,9003401,1,,21.1033,7.22E-05,144.66,2.89E-03,4.68E-01,2.90E+00,2.037,1.20E-01,1.86E+02,9.66E+00,2.02E+01,1.572,5.84E-01,7.19E+02,6.86E+01,,,6000,123,4.36,0.14,1.126,0.21,PC
15246,9005042,1,,0.64044,2.84E-05,132.006,4.77E-03,5.65E-01,4.93E+00,1.118,3.37E-01,3.11E+01,1.13E+01,4.14E+00,0.5198,4.65E-01,2.03E+03,3.57E+02,,,5868,176,4.53,0.26,0.894,0.309,AFP
15247,9005042,2,,0.640459,2.40E-05,131.693,4.05E-03,3.00E-01,2.56E+01,1.09,4.21E-01,3.64E+01,1.13E+01,4.89E+00,0.545,9.95E-01,2.03E+03,3.57E+02,,,5868,176,4.53,0.26,0.894,0.309,AFP
15248,9022166,2,,72.3832,6.52E-04,179.493,7.19E-03,7.89E-01,3.43E-01,8.163,5.82E-01,3.57E+02,1.86E+01,1.98E+01,4.156,7.16E-01,5.75E+02,8.01E+01,,,5508,110,3.9,0.21,1.988,0.548,PC
15249,9024857,1,,35.0266,1.68E-06,160.602,3.93E-05,9.00E-01,1.08E-01,2.927,1.84E-03,1.22E+05,7.87E+01,1.57E+03,42.27,6.72E+00,4.91E+02,9.59E+01,,,5543,165,4.57,0.26,0.813,0.314,UNK
15250,9025029,1,,586.17,2.13E-02,343.933,2.85E-02,9.16E-01,3.72E-02,14.93,1.07E+00,4.73E+02,1.97E+02,2.70E+00,29.63,6.06E+00,5.68E+02,1.46E+01,,,4806,84,2.5,0.01,10.93,0.41,UNK
15251,9025557,1,,2.39872,4.69E-05,133.564,9.19E-03,7.40E-01,1.39E+00,10.82,1.84E+01,9.15E+00,2.37E+00,3.97E+00,1.109,4.45E-01,2.71E+03,7.78E+02,,,6712,209,3.56,0.57,3.388,1.931,NTP
15252,9045401,1,,0.773402,9.89E-06,131.873,3.40E-03,7.04E-01,1.58E+00,2.503,1.79E+00,5.09E+01,6.46E+00,9.37E+00,1.129,4.70E-01,2.60E+03,7.36E+02,,,6348,195,4.15,0.29,1.476,0.832,AFP
15253,9045401,2,,0.773403,1.32E-05,132.28,3.04E-03,7.00E-01,1.51E+00,1.448,2.87E-01,6.19E+01,1.03E+01,7.62E+00,1.246,4.94E-01,2.60E+03,7.36E+02,,,6348,195,4.15,0.29,1.476,0.832,AFP
