rowid,kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err,av_training_set
4208,5450428,2,,1.56602,2.46E-05,132.765,6.73E-03,9.01E-01,3.99E-01,4.666,6.28E+00,2.45E+01,3.57E+00,7.43E+00,0.7532,2.35E-01,2.07E+03,6.02E+02,,,6896,241,4.3,0.34,1.308,0.756,NTP
4265,5392514,1,,0.53685,1.26E-05,131.803,3.20E-03,7.08E-01,1.80E+00,1.67,1.28E+00,5.67E+01,9.32E+00,8.85E+00,0.6547,3.40E-01,2.10E+03,4.81E+02,,,5818,185,4.53,0.29,0.81,0.367,UNK
4298,5563937,1,,0.518578,4.76E-04,131.81,6.99E-02,1.25E-01,3.01E+03,0.654,6.15E+00,3.43E+00,2.41E+01,2.01E-01,0.1917,1.46E+01,2.41E+03,5.02E+02,,,6177,233,4.46,0.29,1.011,0.415,AFP
4299,5563937,2,,0.519443,0.00E+00,131.777,0.00E+00,1.00E-01,0.00E+00,1.5,0.00E+00,1.63E+03,0.00E+00,-1.00E+00,4.098,0.00E+00,2.41E+03,0.00E+00,,,6177,233,4.46,0.29,1.011,0.415,AFP
4308,5644412,1,,1.53818,6.23E-06,132.494,1.43E-03,4.67E-01,3.87E+00,1.778,7.26E-02,2.51E+02,2.11E+01,1.67E+01,1.162,7.36E-01,1.24E+03,1.26E+02,,,5112,200,4.61,0.1,0.726,0.136,PC
4310,5644758,1,,1.23657,1.12E-05,131.76,2.73E-03,4.95E-01,5.32E+00,3.162,1.30E+00,1.58E+02,2.35E+01,9.16E+00,1.109,7.54E-01,1.67E+03,3.64E+02,,,6075,202,4.54,0.31,0.858,0.369,UNK
4400,5478788,1,,0.735821,5.64E-06,131.651,8.82E-04,1.00E-01,1.94E+01,2.013,4.50E-01,9.28E+01,7.51E+00,1.68E+01,1.614,5.96E-01,2.83E+03,7.86E+02,,,6587,241,4.12,0.31,1.663,0.916,UNK
4422,5611966,1,,497.395,2.45E-02,183.634,3.60E-02,1.12E-01,5.15E+01,16.73,4.07E+00,5.08E+02,1.38E+02,4.11E+00,2.444,2.97E+00,2.52E+02,4.20E+01,,,5949,171,4.32,0.22,1.086,0.357,NTP
4475,5553652,1,,24.3282,1.79E-04,141.052,6.20E-03,9.76E-01,6.16E-02,5.953,4.32E-01,1.26E+03,7.37E+01,2.35E+01,4.281,2.71E+00,5.20E+02,6.60E+01,,,5285,176,4.59,0.16,0.78,0.191,AFP
4476,5553652,2,,24.328,1.23E-04,150.369,4.12E-03,9.74E-01,7.85E-02,3.789,3.35E-01,1.48E+03,9.63E+01,2.24E+01,4.599,3.42E+00,5.20E+02,6.60E+01,,,5285,176,4.59,0.16,0.78,0.191,AFP
